layers,output_dim,layers_type,is_bias,dataset_combination,weight_decay,network
4,2,SAGE,True,"[0.21, 0.79]",0.0005,ocgnn
5,2,SAGE,True,"[0.21, 0.79]",0.0005,ocgnn
6,2,SAGE,True,"[0.21, 0.79]",0.0005,ocgnn
4,2,SAGE,False,"[0.21, 0.79]",0.0005,ocgnn
5,2,SAGE,False,"[0.21, 0.79]",0.0005,ocgnn
6,2,SAGE,False,"[0.21, 0.79]",0.0005,ocgnn
4,2,SAGE,True,"[0.21, 0.79]",0,ocgnn
5,2,SAGE,True,"[0.21, 0.79]",0,ocgnn
6,2,SAGE,True,"[0.21, 0.79]",0,ocgnn
4,2,SAGE,False,"[0.21, 0.79]",0,ocgnn
5,2,SAGE,False,"[0.21, 0.79]",0,ocgnn
6,2,SAGE,False,"[0.21, 0.79]",0,ocgnn
4,16,SAGE,True,"[0.21, 0.79]",0.0005,ocgnn
5,16,SAGE,True,"[0.21, 0.79]",0.0005,ocgnn
6,16,SAGE,True,"[0.21, 0.79]",0.0005,ocgnn
4,16,SAGE,False,"[0.21, 0.79]",0.0005,ocgnn
5,16,SAGE,False,"[0.21, 0.79]",0.0005,ocgnn
6,16,SAGE,False,"[0.21, 0.79]",0.0005,ocgnn
4,16,SAGE,True,"[0.21, 0.79]",0,ocgnn
5,16,SAGE,True,"[0.21, 0.79]",0,ocgnn
6,16,SAGE,True,"[0.21, 0.79]",0,ocgnn
4,16,SAGE,False,"[0.21, 0.79]",0,ocgnn
5,16,SAGE,False,"[0.21, 0.79]",0,ocgnn
6,16,SAGE,False,"[0.21, 0.79]",0,ocgnn
4,64,SAGE,True,"[0.21, 0.79]",0.0005,ocgnn
5,64,SAGE,True,"[0.21, 0.79]",0.0005,ocgnn
6,64,SAGE,True,"[0.21, 0.79]",0.0005,ocgnn
4,64,SAGE,False,"[0.21, 0.79]",0.0005,ocgnn
5,64,SAGE,False,"[0.21, 0.79]",0.0005,ocgnn
6,64,SAGE,False,"[0.21, 0.79]",0.0005,ocgnn
4,64,SAGE,True,"[0.21, 0.79]",0,ocgnn
5,64,SAGE,True,"[0.21, 0.79]",0,ocgnn
6,64,SAGE,True,"[0.21, 0.79]",0,ocgnn
4,64,SAGE,False,"[0.21, 0.79]",0,ocgnn
5,64,SAGE,False,"[0.21, 0.79]",0,ocgnn
6,64,SAGE,False,"[0.21, 0.79]",0,ocgnn
